,Date,Symbol,close_price,medrv
2247,03/25/2022,10Yr,2.48,0
2248,03/28/2022,10Yr,2.46,0
2249,03/29/2022,10Yr,2.41,0
2250,03/30/2022,10Yr,2.35,0
2251,03/31/2022,10Yr,2.32,0
2252,04/01/2022,10Yr,2.39,0
2253,04/04/2022,10Yr,2.42,0
2254,04/05/2022,10Yr,2.54,0
2255,04/06/2022,10Yr,2.61,0
2256,04/07/2022,10Yr,2.66,0
2257,04/08/2022,10Yr,2.72,0
2258,04/11/2022,10Yr,2.79,0
2259,04/12/2022,10Yr,2.72,0
2260,04/13/2022,10Yr,2.7,0
2261,04/14/2022,10Yr,2.83,0
2262,04/18/2022,10Yr,2.85,0
2263,04/19/2022,10Yr,2.93,0
2264,04/20/2022,10Yr,2.85,0
2265,04/21/2022,10Yr,2.9,0
2266,04/22/2022,10Yr,2.9,0
2267,04/25/2022,10Yr,2.81,0
2268,04/26/2022,10Yr,2.77,0
2269,04/27/2022,10Yr,2.82,0
2270,04/28/2022,10Yr,2.85,0
2271,04/29/2022,10Yr,2.89,0
2272,05/02/2022,10Yr,2.99,0
2273,05/03/2022,10Yr,2.97,0
2274,05/04/2022,10Yr,2.93,0
2275,05/05/2022,10Yr,3.05,0
2276,05/06/2022,10Yr,3.12,0
2277,05/09/2022,10Yr,3.05,0
2278,05/10/2022,10Yr,2.99,0
2279,05/11/2022,10Yr,2.91,0
2280,05/12/2022,10Yr,2.84,0
2281,05/13/2022,10Yr,2.93,0
2282,05/16/2022,10Yr,2.88,0
2283,05/17/2022,10Yr,2.98,0
2284,05/18/2022,10Yr,2.89,0
2285,05/19/2022,10Yr,2.84,0
2286,05/20/2022,10Yr,2.78,0
2287,05/23/2022,10Yr,2.86,0
2288,05/24/2022,10Yr,2.76,0
2289,05/25/2022,10Yr,2.75,0
2290,05/26/2022,10Yr,2.75,0
2291,05/27/2022,10Yr,2.74,0
2292,05/31/2022,10Yr,2.85,0
2293,06/01/2022,10Yr,2.94,0
2294,06/02/2022,10Yr,2.92,0
2295,06/03/2022,10Yr,2.96,0
2296,06/06/2022,10Yr,3.04,0
2297,06/07/2022,10Yr,2.98,0
2298,06/08/2022,10Yr,3.03,0
2299,06/09/2022,10Yr,3.04,0
2300,06/10/2022,10Yr,3.15,0
2301,06/13/2022,10Yr,3.43,0
2302,06/14/2022,10Yr,3.49,0
2303,06/15/2022,10Yr,3.33,0
2304,06/16/2022,10Yr,3.28,0
2305,06/17/2022,10Yr,3.25,0
2306,06/21/2022,10Yr,3.31,0
2307,06/22/2022,10Yr,3.16,0
2308,06/23/2022,10Yr,3.09,0
2309,06/24/2022,10Yr,3.13,0
2310,06/27/2022,10Yr,3.2,0
2311,06/28/2022,10Yr,3.2,0
2312,06/29/2022,10Yr,3.1,0
2313,06/30/2022,10Yr,2.98,0
2314,07/01/2022,10Yr,2.88,0
2315,07/05/2022,10Yr,2.82,0
2316,07/06/2022,10Yr,2.93,0
2317,07/07/2022,10Yr,3.01,0
2318,07/08/2022,10Yr,3.09,0
2319,07/11/2022,10Yr,2.99,0
2320,07/12/2022,10Yr,2.96,0
2321,07/13/2022,10Yr,2.91,0
2322,07/14/2022,10Yr,2.96,0
2323,07/15/2022,10Yr,2.93,0
2324,07/18/2022,10Yr,2.96,0
2325,07/19/2022,10Yr,3.01,0
2326,07/20/2022,10Yr,3.04,0
2327,07/21/2022,10Yr,2.91,0
2328,07/22/2022,10Yr,2.77,0
2329,07/25/2022,10Yr,2.81,0
2330,07/26/2022,10Yr,2.81,0
2331,07/27/2022,10Yr,2.78,0
2332,07/28/2022,10Yr,2.68,0
2333,07/29/2022,10Yr,2.67,0
2334,08/01/2022,10Yr,2.6,0
2335,08/02/2022,10Yr,2.75,0
2336,08/03/2022,10Yr,2.73,0
2337,08/04/2022,10Yr,2.68,0
2338,08/05/2022,10Yr,2.83,0
2339,08/08/2022,10Yr,2.77,0
2340,08/09/2022,10Yr,2.8,0
2341,08/10/2022,10Yr,2.78,0
2342,08/11/2022,10Yr,2.87,0
2343,08/12/2022,10Yr,2.84,0
2344,08/15/2022,10Yr,2.79,0
2345,08/16/2022,10Yr,2.82,0
2346,08/17/2022,10Yr,2.89,0
2347,08/18/2022,10Yr,2.88,0
2348,08/19/2022,10Yr,2.98,0
2349,08/22/2022,10Yr,3.03,0
2350,08/23/2022,10Yr,3.05,0
2351,08/24/2022,10Yr,3.11,0
2352,08/25/2022,10Yr,3.03,0
2353,08/26/2022,10Yr,3.04,0
2354,08/29/2022,10Yr,3.12,0
2355,08/30/2022,10Yr,3.11,0
2356,08/31/2022,10Yr,3.15,0
2357,09/01/2022,10Yr,3.26,0
2358,09/02/2022,10Yr,3.2,0
2359,09/06/2022,10Yr,3.33,0
2360,09/07/2022,10Yr,3.27,0
2361,09/08/2022,10Yr,3.29,0
2362,09/09/2022,10Yr,3.33,0
2363,09/12/2022,10Yr,3.37,0
2364,09/13/2022,10Yr,3.42,0
2365,09/14/2022,10Yr,3.41,0
2366,09/15/2022,10Yr,3.45,0
2367,09/16/2022,10Yr,3.45,0
2368,09/19/2022,10Yr,3.49,0
2369,09/20/2022,10Yr,3.57,0
2370,09/21/2022,10Yr,3.51,0
2371,09/22/2022,10Yr,3.7,0
2372,09/23/2022,10Yr,3.69,0
2373,09/26/2022,10Yr,3.88,0
2374,09/27/2022,10Yr,3.97,0
2375,09/28/2022,10Yr,3.72,0
2376,09/29/2022,10Yr,3.76,0
2377,09/30/2022,10Yr,3.83,0
2378,10/03/2022,10Yr,3.67,0
2379,10/04/2022,10Yr,3.62,0
